title	age_gender	question	date	answer	answer2	answer3	answer4
Møg forelsket	Pige   15 år	jeg er en pige på 13 år.	21-Feb-18	"Det er mega skønt at være forelsket, og det virker også til, at han synes, du virker sød, og det er mega godt. Når man er forelsket, tror jeg også, man kan blive lidt mere genert, end man ville være overfor en veninde, og det virker i mine øjne helt normalt, fordi man ofte kan få den slags naturlige reaktioner, når man er forelsket. Man ved sommetider ikke, hvordan man skal handle og reagere, hvilket jeg også selv kender til. Men når du skriver, at du så inderligt gerne vil tale med ham, er det selvfølgelig muligt at arbejde med og gøre noget ved, og det er der flere metoder til."	"Jeg synes du skal skrive til ham, ""Hej jeg synes du er virker sød så og jeg vil gerne lære dig bedre at kende"" hvis der hvor du bor er en park eller en fodbold bane så spørg om i kunne mødes efter skole og snakke lidt, og spille lidt bold

håber mit råd vil hjælpe dig lidt :)"	null	null
Kan han lide mig?	Pige   12 år	"Jeg er en pige på 12 år. Jeg er forelsket i en dreng jeg arbejder sammen med, vi arbejder sammen i vores lokale svømmehal."	24-Nov-16	"Hej pige på 12.

Nu er det sådan at jeg er en dreng så jeg vil da godt svare på dit spørgsmål :)"	"Hej pige på 12 år!

Jeg syntes personligt ikke at der er noget galt i det, og han er jo i den alder hvor han kommer til at vokse OVERDREVET meget, så er sikker på at han nok skal nå på din højde meget snart, eller højere endda! Kærlighed er kærlighed ikke? Derfor er I de eneste der bestemmer om det er forkert eller rigtigt. Gør hvad der føles rigtigt :) Men det er godt at høre at der er nogen du har det godt med.

Held og lykke!"	Hej pige. Jeg syndes du virker sød så bare rolig han kan godt lide dig. Vis han griner af dine jokes så kan han godt lide dig der er der næsten 99% chance for. Jeg er selv tretten og jeg ved hvordan det er. MEN men men men der er altid et men. Vis i for et forhold så vil han nok holde det hemmeligt (så det bør du også vis han siger du godt må så er han bare besked for ik at virke streng). Men det skal nok gå bare giv det tid. Et sidste råd fra mig er.... jeg vil næsten ik skrive det men drenge tør ik spørge? Jeg er jo selv en så det ved jeg. Håber du kan bruge dette?	"Kærlighed har slet ikke noget med alder og højden at gøre, jeg har været forelsket i mange piger der har været højere yngre eller ældre, det er der slet ikke noget glat i,

så det skal du ikke være nervøs for:) jeg håber du vil bruge mig råd så gost du nu kan:)"
Usikker	Pige   13 år	"Jeg er en pige på 13 som har svært ved at acceptere min krop, alle mine venner siger at jeg er MEGA tynd, men føler mig tyk, jeg træner meget/løber i håb om at tabe mig."	27 Oktober 2016	Hej søde	Heej.	"Du vil virkelig ikke ned af den sti - jeg har/er der selv, og det er virkelig ikke noget man har lyst til. Hvis jeg kunne gå tilbage og give mig selv et råd, ville det være at elske mig selv, og se den RIGTIGE mig i spejlet. En spiseforstyrrelse er noget du aldrig nogensinde kan komme dig 100% over. Der vil altid være et eller andet der hænger ved, selv når du er dømt 'rask'.

Du skal virkelig tro på, hvad dine veninder fortæller dig, når de siger, du er MEGA tynd. For det er du - det er kun dig selv, der ser dig selv som 'tyk'. Det er okay at træne meget - så længe at du også spiser mere. Du er mere værd en nummeret på vægten - det er kun et nummer. Du er smuk, og fortæl dig selv det hver dag. Det vil virke kunstigt i starten, men bare fortæl at du er smuk mindst en gang om dagen. Husk bare at det ikke må tage over - mad, kalorier og vægt må ikke fylde hele din dag. Du skal til en hver tid kunne vælge en venindetur over en løbetur."	"Hej smukke. Jeg har været igennem det helt samme som dig. Jeg er en pige på 13 år og jeg synes selv at jeg er tyk. Men jeg ændrede den følelse ved at begynde at løbe og træne. Det har jeg gjort i et år nu. Jeg er også blevet vegetar. Ikke rigtigt derfor, men det hjælper. Det er en smule svært i starten, men det går over. Jeg synes stadig ikke om min krop, men det er gået den rigtige vej. Så omgiv dig selv med mange søde og ærlige mennesker. Held og lykke. :)"
Forelskelse	Dreng   11 år	"Jeg er forelsket i denne pige som. Hver dag har jeg ondt i maven Pga. Forelske. Vi svinger rigtig godt sammen, men hendes Ex er min bedste ven."	12 Oktober 2016	Jeg kan godt se du står i en rigtig svær situtation men prøv at snak med din bedste ven om det også derefter (hvis han siger det er okay selvfølgelig) kan du spørger om hun har følelser for dig:)	hej Kasper jeg syntes du skal spørge hende om hun er forelsket i nogle og hvis hun siger ja så prøv at spørge hvem det er. Husk at kig på hvordan hun opføre sig imens hvis hun bliver son lidt mærkelig. Så tror jeg at hun kan lide dig. Jeg syntes også at du skal sige det til din ven hvis i bliver kærester. Fordi hvis jeg var din ven ville jeg heller ha at du fortæller mig det end en anden person gør det.	"Hej drengen med håbløs forelskelse

Hvis dig og din bedste ven virkelig er bedste venner, så kan i jo tale med hinanden omkring alt.. så måske du skulle tage en snak med din bedste ven og spørge om han stadig har følelser for denne her pige, husk at sige at han skal være helt ærlig.. det er nok mit bedste råd for nu :)

Knus mig"	"Du står i en meget svær situation. Jeg har selv stået der før, så jeg ved hvordan det er. Hvis jeg skulle give der et råd var det at snakke ned din ven og hende pigen. Mens dig og din ven står og snakker så kom ind på emnet //helt tilfældigt ;) // spørg om han kan lide hende osv. Men det er også super vigtigt at snakke med pigen find ud af om hun kan lide dig!! Hvis du vil finde ud af om hun kan lide dig så giv hende et kompliment vis at hun er lidt mere en bare en pige fra klassen (man lad hver at gå over stregen)  Jeg er selv en pige, så jeg kender lidt til det. Håber du kunne bruge det til noget!!"
Forelsket i en ældre end mig	Dreng   12 år	"Det her problem er der sikkert mange andre der har! Men jeg er blevet forelsket i en pige som er lidt ældre end mig. Et halvt år imellem os, og jeg er bare forelsket! Jeg har normalt ikke problemer med at blive kærester med piger, men det her er Anderledes! Der er også en dreng fra min klasse, som også er lidt vild med hende. Ham og pigen følges hjem, men jeg bor lidt længere væk og kan ikke følges med dem, men det er på en måde lidt mærkeligt at gå forbi hende for hun kan godt finde på at sende jeg-er-forelsket-i-dig øjne'?? Vi flirter lidt sammen, og ham den anden dreng flirter ikke, hvad jeg ved?"	27 Oktober 2015	"Det sker!!

Chill, theres nothing to worry about! Jeg er 15, og jeg synes da også at Channing Tatum er ret lækker. Og han er altså 35."	"Jeg synes du skal snakke med pigen om det. Hør hvordan hun føler onsdag. Det værste der kan ske er, at du får et nej. Et halvt årer ikke meget til forskel, så synes du skal tage chancen. Prøv at flirte lidt og sådan. Men, snak også lige med hende om det, eller skriv det.. :)"	"Et halvt år, er ikke så meget som du tror. Min mor er et år ældre end min far, men de har jo stadig fundet kærlighed<3"	"Et halvt år er jo ingenting. Det er helt ligemeget, når det kun er et halvt år. Det ville det også være, hvis det var et år og måske, hvis det var to år. Når man bliver ældre er det meget ligegyldigt, men det betyder mere, når man er barn og for nogen, når man er teenager. Du skal overhovedet ikke tænke på alderen, bare kast dig ud i det. Pigen er nok også helt ligeglad med det. Jeg ved ret meget om piger efter som, at jeg selv er en pige på 15 år. Det virker som om, at hun ret godt kan lide dig."
Drengen jeg kan lide	Pige   14 år	"Jeg er en 14 årige pige, jeg kan lide den her dreng som gå i min klasse"	17-Dec-17	"Jeg synes du skal mærke efter om du er forelsket i ham, siden du gerne vil mere.

Eller om det er fordi du gerne vil have en kæreste (fordi det spændende og nyt)

Jeg er ked af jeg ikke holdte på min bedste ven, da jeg tog skridtet videre , skræmte jeg ham væk..:( Så jeg synes du skal mærke efter hvorfor du vil tage skridtet videre. :)"	"Hvis han kan lide dig og du kan lide ham. Så ville i være de bedste kærester ever, men hvis du ikke vil / tør ikke at spørge så bare vent er sikker på han vil spørge dig... han kan jo godt lide dig :-)) håber i bliver kærester"	"Hej.

Jeg har selv en kæreste og vi havde det på samme måde. Vi kunne begge lide hinanden, jeg var også hans bedste pigeven. Efter skole skrev vi sammen også blev vi kærester. Jeg syntes du skal hoppe ud i det og spørger ham om kærester. Det er overhovedet ikke farligt at prøve :)"	"Jeg synes, at du skal overveje hvad du føler for ham, og hvor stærke følelserne er. Det virker som om, at I har noget sammen - både venskabeligt, men også lidt mere end det. Måske skal du vente og se tiden an, eller måske skal du konfrontere ham, så I kan få afklaret jeres følelser. Men ellers bare spring ud i det! Det kan være, at du bliver helt vildt knust, men det kan også være, at du bliver lykkeligere end nogensinde. Det er der kun en måde at finde ud af på!"
Forelsket i min bedste ven	Pige   13 år		21-Feb-18	"Det bedste ville nok være hvis at du bare venter til hans kæreste forsvinder og så selv tage over. Der er 2 muligheder for hvad der så kan ske.

nummer 1: Han er så sårbar og følelsesladet at han ikke kan andet end tage imod dig

nummer 2: Han vil aldrig kendes ved dig igen"	"Hej, jeg har været i samme situation. Jeg blev forelsket i min bedste ven, men jeg vidste ikke om jeg skulle sige det eller hvordan jeg skulle sige det. Da der var gået lidt tid ( Altså efter han havde slået op med sin kæreste ) , fortalte jeg ham at jeg  altså havde følelser for ham, jeg var bare så heldig at han også havde følelser for mig. Efter lidt tid blev vi så kærester, vi  var kærester i et halvt år, men det føltes bare lidt mærkeligt, for altså, han var min bedste ven, så da vi var slået op indså jeg efter lidt tid, at vi nok bare skulle være venner. Jeg håber virkelig du finder ud af det! <3"	stop med at kan lide ham	Hej pige
Kan ikke glemme ham	Pige   13 år	"Jeg er hel vildt forelsket i En dreng fra min klasse men han kan ikke lide mig på samme måde, jeg prøver at glemme ham men det er det sværeste der nogensinde er sket for mig"	30-Nov-15	"Bliv ved med at ""prøve"" altså snak med ham flirt osv. det kan i det mindste være at i bliver gode venner"	"Hej.

Er du sikker på, at han ikke har det på samme måde med dig? Måske løj han af en eller anden grund.

Du kan også prøve at flirte med ham og se, hvordan han reagerer. Måske kan du gøre ham forelsket i dig. Hvem ved? Det lykkes for nogen, så hvorfor ikke også for dig?

Hvis du er sikker på, at han ikke føler noget for dig, så ville det måske være noget med at tale med dine gode og meget tætte veninder/venner... Hvis du altså stoler på dem og føler dig tryk ved dem. Ellers er det nok bedre, at holde det for dig del... Desværre.

Men bare rolig, for jeg har læst, at en undersøgelse viser, at man hurtigere kommer over personer, man er forelsket i, hvis man hører en masse triste kærlighedssange, så det er en mulighed.

Hel og lykke. :-)

Hilsen #1."	Jeg har stået i præcis samme båd med min gode veninde. Jeg spurgte hende og hun sagde nej. Det er 2 år siden nu og vi er stadig gode vennner. Hun sagde at hun ikke kunne lide mig på den måde og jeg accepterede det. Jeg sagde til hende jeg nok ikke vil tale så meget i lidt tid. Der gik en måned og jeg var ovre hende. Så tiden vil hele det hvis du selv vælgr at acceptere det.	"Vær ikke bange og bare prøv dig fram, så skal det nok gå. Du kan også bare sige til ham jeg kan godt lide dig. Men det ville jeg ikke kunne gør, jeg ville være alt for bange. Men for du ikke skal sige det Face to Face er fordi han kan sige det til sine venner, også ville de måske være efter dig og drille dig med det"
BEDRE MED STORE BRYSTER?	Pige   12 år	"Mvh

Hjælperen512"	30 Marts 2017	"De drenge som bedre kan lide piger med store bryster er ikke drenge som du skal være venner med!! De drenge(og piger) Som er vær at være venner med er lige glade med dine bryster.

Hvis du gerne vil være populær blandt drengene skal du nok prøve at finde ud af hvad de kan lide og snakke om det med dem c:"	Hej. :)	Det er fuldkommen ligegyldigt om piger har store bryster god røv og så videre (Det er da dejligt hvis de har men det er ikke det der tæller. ) du skal være den som du gerne vil og ikke den som andre gerne vil have du skal være :)	"Personlighed er 10 gange vigtigere end udseende selfølgelig kan os drenge godt lide piger med ""flotte former"" men jeg vil hellere være venner med en pige med god personlighed med mindre bryster end en pige med større bryster og en dårlig personlighed."
kan jeg lide ham eller...?	Pige  år	Hvordan føles det og hvis jeg nu er forelsket i ham er det så det rigtige at føre det til noget mere seriøst og hvordan gør man lige det?	08-Dec-15	"Hej,

Kærlighed er og vil altid være en svær ting. Det lyder som om at ihvertfald er rimelig gode venner.

Hvis du ikke er helt sikker på om du er forelsket i ham kan du altid kigge efter tegn på det feks. Får du hjertebanken når du ser ham? Er du virkelig glad i hans nærvær? Får du sommerfugle i maven ved tanken om ham? Disse ting har jeg selv oplevet da jeg var forelsket.

Hvis du er blevet sikker med dig selv om at du er forelsket i ham har du fra mit synspunkt to valgmuligheder. 1. Afvente for at se om han også er vild med dig også gøre det til noget seriøst.

2. Du tager initiativet og spørge ham (kun hvis du er klar til at få et nej)

Håber det var hjælp nok :)

Hilsen Mads"	"Hej søde ven.

Som sagt tidligere, så er kærlighed, og vil altid være, meget svært. Det kan i nogle tilfælde være meget svært at vide om man er forelsket eller ej. Det har jeg nemlig selv oplevet. Men, hvis du virkelig er forelsket, ved du det. Men for at få det på en anden måde, kan du holde øje med de her tegn:

- Du tænker rigtig meget på ham. Måske endda så meget, at det er umuligt for dig at lade være.

- Du drømmer meget om ham om natten.

- Du fantaserer af og til om ham.

- Du vil gerne have, at hans fokus hele tiden er på dig, og hvis det er på andre piger, bliver du nogle gange jaloux.

- Du bliver nervøs og får svedige håndflader, når han taler til dig. Du rødmer måske også.

- Du har bare lyst til at se på ham og være sammen med ham hele tiden. Du vil nærmest vide alt om ham.

- Hvert et tegn på, at han er forelsket i dig gør dig glad eller måske endda lykkelig, og hvert et tegn på, at han ikke er interesseret gør dig ked af det.

Hel og lykke.

Mvh. #1."	"Vil sige at du skal springe ud i det, hvis han ikke er med på vognen, er han ikke den rigtige for dig. du skal bare være klar på han  ikke er helt vandt til at have en kæreste så du skal sige vis du føler han overgår nogle grænser fx. hænger lidt for meget op ad sin gode veninde.

kh den bedste"	"Her er mit råd har selv en kæreste

Vis du føler nået så sig det til ham

Vis ikke så skal i nok bare vare venner"
